1 Ayam Bakar | 20000.000000 6 F 
2 Nasi Putih | 5000.000000 7 F 
3 Es Teh Manis | 3500.000000 8 D 
4 Es Jeruk | 4000.000000 0 D 
5 Tahu Goreng | 5000.000000 0 F 
6 Tempe Goreng | 5000.000000 0 F 
7 Ayam Goreng | 17000.000000 0 F 
8 Sambal Terasi | 5000.000000 0 F 
9 Lalapan | 3000.000000 0 F 
10 Lele Bakar | 15000.000000 0 F 
11 Ikan Nila Goreng | 25000.000000 0 F 
12 Ikan Gurame Bakar | 40000.000000 0 F 
13 Sop Ayam | 25000.000000 0 F 
14 Soto Ayam | 23000.000000 0 F 
15 Ayam Penyet | 26000.000000 0 F 

